#{"t_start": 1750208092.3271668, "env_id": "None"}
r,l,t
184.007844,105,7.679826
163.692862,94,8.249861
189.284891,109,8.816776
175.440061,100,9.210306
181.354813,103,9.830971
174.142231,99,10.702269
182.621201,104,11.140747
169.6439,97,11.533588
187.177235,106,11.939407
178.140129,102,12.34807
197.093197,112,12.799722
187.882397,108,13.228571
176.856054,101,14.071241
184.013898,105,14.48172
192.488709,110,14.938809
185.299182,106,15.34686
187.189787,106,15.747842
181.932084,102,16.132146
180.771633,104,16.5261
193.171211,109,30.294257
183.977634,105,30.717654
168.974676,98,31.093043
181.339628,103,31.568888
169.581811,97,31.987761
178.695287,101,32.802298
182.701414,104,33.219208
174.13633,99,33.672019
176.817236,101,34.086015
191.785134,108,34.52554
185.301204,106,34.955621
179.482876,103,35.37799
167.677238,97,35.768496
180.058862,102,36.177931
170.885833,98,36.568809
181.379452,103,36.987267
176.742746,101,37.402661
182.729272,104,38.214532
167.652334,97,38.600856
176.175791,102,38.996365
191.211342,109,53.723922
166.371495,96,54.151633
186.641507,107,54.626863
176.779723,101,55.084645
191.206891,109,55.569378
172.257827,99,56.007591
181.40068,103,56.467129
181.390739,103,56.923681
184.050898,105,57.397833
181.410939,103,58.275491
178.107364,102,58.733684
180.002119,102,59.198296
185.307216,106,59.694601
193.845414,111,60.225593
170.900106,98,60.6618
185.874081,105,61.125788
192.482056,110,61.618016
188.527637,107,62.088427
189.816405,108,62.561872
184.092792,105,63.043499
184.01499,105,77.931176
188.583525,107,79.152961
182.739427,104,79.619745
175.416152,100,80.105418
188.53604,107,80.594806
177.398251,100,81.030909
180.069727,102,81.507968
181.385471,103,81.959687
183.935659,105,82.426609
183.935139,105,82.897232
190.476873,107,83.371345
183.974571,105,83.862328
178.021022,102,84.315745
